# Mock data
crop,param,unit,value,description
wheat,fertilizer,kg/t,45,N+P+K fertilizer inputs
dryland-rice,fertilizer,kg/t,65,Higher fertilizer intensity
dryland-rice,ch4,kg/t,110,Methane from flooded fields
maize,fertilizer,kg/t,85,High fertilizer input crop
soybean,fertilizer,kg/t,25,N-fixing
white-potato,fertilizer,kg/t,35,Moderate fertilizer needs
apple,fertilizer,kg/t,15,Low fertilizer requirements
tomato,fertilizer,kg/t,25,Moderate fertilizer needs
barley,fertilizer,kg/t,40,Moderate fertilizer needs
oat,fertilizer,kg/t,35,Lower fertilizer requirements
sunflower,fertilizer,kg/t,50,Moderate fertilizer needs
beans,fertilizer,kg/t,15,N-fixing
peanut,fertilizer,kg/t,20,N-fixing legume
carrot,fertilizer,kg/t,30,Moderate fertilizer needs
onion,fertilizer,kg/t,40,Higher N requirements
cabbage,fertilizer,kg/t,45,Higher nutrient needs
banana,fertilizer,kg/t,60,High K requirements
cassava,fertilizer,kg/t,20,Low fertilizer needs
sweet-potato,fertilizer,kg/t,15,Low fertilizer needs
yam,fertilizer,kg/t,20,Moderate fertilizer needs
rye,fertilizer,kg/t,35,Moderate fertilizer needs
rapeseed,fertilizer,kg/t,60,High nutrient needs
groundnut,fertilizer,kg/t,20,N-fixing legume
dry-pea,fertilizer,kg/t,15,N-fixing legume
chickpea,fertilizer,kg/t,15,N-fixing legume
sugarcane,fertilizer,kg/t,60,High nutrient needs
sugarbeet,fertilizer,kg/t,50,High nutrient needs
wetland-rice,fertilizer,kg/t,70,Higher fertilizer for wetland cultivation
wetland-rice,ch4,kg/t,150,High methane from flooded fields
sorghum,fertilizer,kg/t,50,Drought-tolerant cereal
buckwheat,fertilizer,kg/t,30,Low fertilizer needs
foxtail-millet,fertilizer,kg/t,40,Moderate fertilizer needs
pearl-millet,fertilizer,kg/t,45,Moderate fertilizer needs
cowpea,fertilizer,kg/t,15,N-fixing legume
gram,fertilizer,kg/t,15,N-fixing legume
phaseolus-bean,fertilizer,kg/t,15,N-fixing legume
pigeonpea,fertilizer,kg/t,15,N-fixing legume
citrus,fertilizer,kg/t,30,Perennial fruit tree
coconut,fertilizer,kg/t,25,Low fertilizer palm
sesame,fertilizer,kg/t,35,Moderate fertilizer needs
oil-palm,fertilizer,kg/t,40,Tropical plantation
olive,fertilizer,kg/t,20,Low fertilizer perennial
alfalfa,fertilizer,kg/t,10,N-fixing forage
biomass-sorghum,fertilizer,kg/t,40,Bioenergy feedstock
